RocksDB:    version 10.7.0
Date:       Thu Sep 11 12:25:07 2025
CPU:        48 * Intel(R) Xeon(R) Silver 4310 CPU @ 2.10GHz
CPUCache:   18432 KB
2025/09/11-12:34:08  ... thread 0: (1047000,21231000) ops and (34881.7,39300.8) ops/second in (30.015731,540.218337) seconds
2025/09/11-12:34:08  ... thread 3: (1083000,21796000) ops and (36083.4,40344.9) ops/second in (30.013760,540.241883) seconds
2025/09/11-12:34:38  ... thread 2: (928000,22846000) ops and (30919.2,40069.0) ops/second in (30.013668,570.166187) seconds
2025/09/11-12:34:38  ... thread 1: (951000,22498000) ops and (31697.6,39456.4) ops/second in (30.002309,570.199066) seconds
2025/09/11-12:34:38  ... thread 0: (997000,22228000) ops and (33214.4,38980.4) ops/second in (30.017085,570.235422) seconds
2025/09/11-12:34:38  ... thread 3: (1007000,22803000) ops and (33553.5,39987.5) ops/second in (30.011769,570.253652) seconds
2025/09/11-12:35:08  ... thread 2: (953000,23799000) ops and (31726.5,39651.5) ops/second in (30.037965,600.204152) seconds
2025/09/11-12:35:08  ... thread 1: (1066000,23564000) ops and (35493.1,39258.1) ops/second in (30.034037,600.233103) seconds
2025/09/11-12:35:08  ... thread 3: (1073000,23876000) ops and (35765.7,39776.5) ops/second in (30.000848,600.254500) seconds
2025/09/11-12:35:08  ... thread 0: (1057000,23285000) ops and (35208.6,38791.8) ops/second in (30.021064,600.256486) seconds
2025/09/11-12:35:38  ... thread 2: (967000,24766000) ops and (32229.7,39298.2) ops/second in (30.003340,630.207492) seconds
2025/09/11-12:35:38  ... thread 1: (1078000,24642000) ops and (35888.1,39097.5) ops/second in (30.037824,630.270927) seconds
2025/09/11-12:35:38  ... thread 0: (1066000,24351000) ops and (35503.0,38635.1) ops/second in (30.025636,630.282122) seconds
2025/09/11-12:35:38  ... thread 3: (1081000,24957000) ops and (35999.2,39596.5) ops/second in (30.028472,630.282972) seconds
2025/09/11-12:36:08  ... thread 2: (953000,25719000) ops and (31758.4,38955.5) ops/second in (30.007812,660.215304) seconds
2025/09/11-12:36:08  ... thread 0: (1042000,25393000) ops and (34732.8,38457.8) ops/second in (30.000436,660.282558) seconds
2025/09/11-12:36:08  ... thread 1: (1023000,25665000) ops and (34085.5,38869.7) ops/second in (30.012749,660.283676) seconds
2025/09/11-12:36:08  ... thread 3: (1058000,26015000) ops and (35224.8,39397.6) ops/second in (30.035672,660.318644) seconds
2025/09/11-12:36:38  ... thread 2: (970000,26689000) ops and (32322.6,38667.1) ops/second in (30.010005,690.225309) seconds
2025/09/11-12:36:38  ... thread 0: (1022000,26415000) ops and (34056.5,38266.4) ops/second in (30.008951,690.291509) seconds
2025/09/11-12:36:38  ... thread 1: (1028000,26693000) ops and (34231.0,38667.9) ops/second in (30.031229,690.314905) seconds
2025/09/11-12:36:38  ... thread 3: (970000,26985000) ops and (32321.5,39090.0) ops/second in (30.011000,690.329644) seconds
2025/09/11-12:37:08  ... thread 2: (1013000,27702000) ops and (33735.7,38461.5) ops/second in (30.027569,720.252878) seconds
2025/09/11-12:37:08  ... thread 0: (979000,27394000) ops and (32613.9,38030.9) ops/second in (30.017913,720.309422) seconds
2025/09/11-12:37:08  ... thread 1: (1008000,27701000) ops and (33576.7,38455.7) ops/second in (30.020819,720.335724) seconds
2025/09/11-12:37:08  ... thread 3: (909000,27894000) ops and (30288.3,38723.3) ops/second in (30.011629,720.341273) seconds
